0	Thus   over the past few years   along with advances in the use of learning and statistical methods for acquisition of full parsers   Collins     Charniak   a   Charniak   b   Ratnaparkhi      significant progress has been made on the use of statistical learning methods to recognize shallow parsing patterns syntactic phrases or words that participate in a syntactic relationship   Church     Ramshaw and Marcus     Argamon et al     Cardie and Pierce     Munoz et al     Punyakanok and Roth     Buchholz et al     Tjong Kim Sang and Buchholz    	0
1	This was done by MERT optimization   Och     towards postedits under the TER target metric	5
2	She evaluates   German verbs with a token frequency between   and   against the Duden   Dudenredaktion   	0
3	The following four components have been identified as the key elements of a question related to patient care   Richardson et al    :	0
4	Briscoe and Carroll     report on manually analyzing an openclass vocabulary of   head words for predicate subcategorization information and comparing the results against the subcategorization details in COMLEX	1
5	This is roughly an    relative reduction in error rate over Charniak     and Bods PCFGreduction reported in Table  	1
6	Finally   feedback expressions   head nods and shakes   are successfully predicted from speech   prosody and eye gaze in interaction with Embodied Communication Agents as well as human communication   Fujie et al     Morency et al     Morency et al     Morency et al    	0
7	We use the agreement checker code developed by Alkuhlani and Habash     and evaluate our baseline   MaltParser using only CORE    best performing model   EasyFirst Parser using CORE   DETLMMPERSONFN   NGR g   p    and the gold reference	5
8	The diagnoser   based on Dzikovska et al   b    outputs a diagnosis which consists of lists of correct   contradictory and nonmentioned objects and relations from the student s answer	2
9	The formalization of DLRs provided by Meurers     defines a formal lexical rule specification language and provides a semantics for that language in two steps : A rewrite system enriches the lexical rule specification into a fully explicit description of the kind shown in Figure  	0
10	Similar to our previous work   Chan and Ng   b    we used the supervised WSD approach described in   Lee and Ng     for our experiments   using the naive Bayes algorithm as our classifier	5
11	Similar to   Li et al   a    our summarization system is   which consists of three key components : an initial sentence preselection module to select some important sentence candidates   the above compression model to generate nbest compressions for each sentence   and then an ILP summarization method to select the best summary sentences from the multiple compressed sentences	1
12	The extraction procedure consists of three steps : First   the bracketing of the trees in the Penn Treebank is corrected and extended based on the approaches of Magerman     and Collins    	0
13	transitionbased dependency parsing framework   Nivre     using an arceager transition strategy and are trained using the perceptron algorithm as in Zhang and Clark     with a beam size of  	5
14	But their importance has grown far beyond machine translation : for instance   transferring annotations between languages   Yarowsky and Ngai    Hwa et al    Ganchev   Gillenwater   and Taskar     discovery of paraphrases   Bannard and CallisonBurch     and joint unsupervised POS and parser induction across languages   Snyder and Barzilay   	4
15	each relevant document is retrieved   BaezaYates and RibeiroNeto   	5
16	McKnight and Srinivasan     have previously examined the task of categorizing sentences in medical abstracts using supervised discriminative machine learning techniques	0
17	This recognizer incrementally outputs word hypotheses as soon as they are found in the bestscored path in the forward search   Hirasawa et al     using the ISTAR   Incremental Structure Transmitter And Receiver   protocol   which conveys word graph information as well as word hypotheses	0
18	The recent great advances in speech and language technologies have made it possible to build fully implemented spoken dialogue systems   Aust et al     Allen et al     Zue et al     Walker et al    	0
19	We posit that this would not have a significant effect on the results   in particular for MMLbased classification techniques   such as Decision Graphs   Oliver   	0
20	Collins   Duffy     showed how the perceptron algorithm can be used to efficiently compute the best parse with DOP s subtrees   reporting a    relative reduction in error rate over the model in Collins     on the WSJ	0
21	Tateisi et al also translated LTAG into HPSG   Tateisi et al    	1
22	The system utilizes several large size biological databases including three NCBI databases   GenPept      RefSeq      and Entrez GENE       PSD database from Protein Information Resources   PIR       and	5
23	The LM uses the monolingual data and is trained as a fivegram using the SRILMToolkit   Stolcke    	5
24	There has also been work focused upon determining the political leaning   eg    liberal   vs   conservative    of a document or author   where most previouslyproposed methods make no direct use of relationships between the documents to be classified   the   unlabeled   texts    Laver et al     Efron     Mullen and Malouf    	0
25	A number of speech understanding systems have been developed during the past fifteen years   Barnett et al    Dixon and Martin    Erman et al    Haton and Pierrel    Lea    Lowerre and Reddy    Medress    Reddy    Walker    and Wolf and Woods   	1
26	Secondly   the cooperative principle of Grice        under the assumption that referential levels of a writer and a reader are quite similar   implies that the writer should structure the text in a way that makes the construction of his intended model easy for the reader   and this seems to imply that he should appeal only to the most direct knowledge of the reader	4
27	In modern syntactic theories   eg   lexicalfunctional grammar   LFG    Kaplan and Bresnan    Bresnan    Dalrymple     headdriven phrase structure grammar   HPSG    Pollard and Sag     treeadjoining grammar   TAG    Joshi     and combinatory categorial grammar   CCG    Ades and Steedman      the lexicon is the central repository for much morphological   syntactic   and semantic information	0
28	In this paper   inspired by KNNSVM   Zhang et al      we propose a local training method   which trains sentencewise weights instead of a single weight   to address the above two problems	4
29	    on linguisitic acquisition   by the use of PartofSpeech filters handcrafted by a linguist    Oueslati     or   more frequently   on a combination of the two   Smadja     Kilgarriff and Tugwell     for example  	1
30	Samuelsson and Voutilainen     report excellent partofspeech tagging results using a handcrafted approach that is close to OT   More speculatively   imagine an OT grammar for stylistic revision of parsed sentences	0
31	Thus for instance    Copestake and Flickinger     Copestake et al     describes a Head Driven Phrase Structure Grammar   HPSG   which supports the parallel construction of a phrase structure   or derived   tree and of a semantic representation and   Dalrymple     show how to equip Lexical Functional grammar   LFG   with a glue semantics	0
32	While many linguistic theories state subcategorization requirements in terms of phrase structure   CFG categories    Dalrymple     questions the viability and universality of such an approach because of the variety of ways in which grammatical functions may be realized at the languagespecific constituent structure level	0
33	We are going to make such a comparison with the theories proposed by J Hobbs       that represent a more computationally oriented approach to coherence   and those of TA van Dijk and W Kintch      who are more interested in addressing psychological and cognitive aspects of discourse coherence	1
34	  From   Zollmann and Vogel      we find that the performance of SAMT system is similar with the method of labeling SCFG rules with POS tags	4
35	In this paper we focus on the exploitation of the LDOCE grammar coding system   Alshawi et al     and Alshawi     describe further research in Cambridge utilising different types of information available in LDOCE	0
36	Gurevych     observed that some annotators were not familiar with the exact definition of semantic relatedness	4
37	All current approaches to monolingual TE   either syntactically oriented   Rus et al      or applying logical inference   Tatu and Moldovan      or adopting transformationbased techniques   Kouleykov and Magnini     BarHaim et al      incorporate different types of lexical knowledge to support textual inference	0
38	Although originally developed as a tool to assist in query formulation   Booth     pointed out that PICO frames can be employed to structure IR results for improving precision	0
