They usually generate user models that describe user interests according to a set of features Web search personalization with ontological user profilesOntology - Based Recommendation of Editorial Products	0
The Computer Science Ontology ( CSO)[3]is a large - scale and granular ontology of research topics that was created automatically by running the Klink-2 algorithm [ 1]on the Rexplore dataset Exploring Scholarly Data with Rexplore . Ontology - Based Recommendation of Editorial Products	0
In order to do so , we characterized all SN publications according to their associated research topics by exploiting the Computer Science Ontology ( CSO ) , a large - scale automatically generated taxonomy of research areas Klink-2 : Integrating Multiple Web Sources to Generate Semantic Topic NetworksOntology - Based Recommendation of Editorial Products	0
This API supports a number of applications , including Smart Book Recommender , Smart Topic Miner [ 5 ] , the Technology - Topic Framework Forecasting the Spreading of Technologies in Research Communities , a system that forecasts the propagation of technologies across research communities , and the Pragmatic Ontology Evolution Framework [ 7 ] , an approach to ontology evolution that is able to select new concepts on the basis of their contribution to specific computational tasksOntology - Based Recommendation of Editorial Products	1
It works according to three main steps:1 ) It represents journals , books , and conferences according to the metadata of their chapters / articles and uses the Smart Topic API Supporting Springer Nature Editors by means of Semantic Technologies to characterize each of them with a semantically enhanced topic vectorOntology - Based Recommendation of Editorial Products	1
A multilayer ontology - based hybrid recommendation model propose a hybrid recommendation model in which user preferences are described in terms of semantic concepts defined in domain ontologiesOntology - Based Recommendation of Editorial Products	0
RecomMetz : A context - aware knowledge - based mobile recommender system for movie showtimes propose RecomMetz , a context - aware mobile recommender system based on Semantic Web technologiesOntology - Based Recommendation of Editorial Products	0
Ontology - Based User Modeling for Knowledge Management Systems describe OntobUM , an ontology - based recommender that integrates three ontologies : i ) the user ontology , which structures the characteristics of users and their relationships , ii ) the domain ontology , which defines the domain concepts and their relationships , and iii ) the log ontology , which defines the semantics of the user interactions with the systemOntology - Based Recommendation of Editorial Products	1
Finding Experts By Semantic Matching of User Profiles use a different strategy by representing user profiles as bags - of - words and weighing each term according to the user interests derived from a domain ontologyOntology - Based Recommendation of Editorial Products	0
The main advantages of these solutions are i ) the ability to exploit the domain knowledge for improving the user modelling process , ii ) the ability to share and reuse system knowledge , and iii ) the alleviation of the cold - start and data sparsity problems [ 16,Ontological user profiling in recommender systems].Ontology - Based Recommendation of Editorial Products	0
With the advent of the Semantic Web , several recommender systems started to adopt ontologies for representing both user interests and items Semantics - Aware Content - Based Recommender SystemsOntology - Based Recommendation of Editorial Products	1
They are typically classified as collaborative filtering approaches , content - based filtering approaches and hybrid approaches Hybrid Web Recommender Systems . Content - based recommender systems [ 15 ] rely on a pre - existing domain knowledge to suggest items more similar to the ones that the user seems to likeOntology - Based Recommendation of Editorial Products	0
They are typically classified as collaborative filtering approaches , content - based filtering approaches and hybrid approaches [ 14].Content - based recommender systems Content - based Recommender Systems : State of the Art and Trends rely on a pre - existing domain knowledge to suggest items more similar to the ones that the user seems to likeOntology - Based Recommendation of Editorial Products	0
Related WorkRecommender systems are software tools and methods which provide suggestions for items to users , according to their preferences and needs Recommender Systems HandbookOntology - Based Recommendation of Editorial Products	0
We are thus exploring the option of using datasets such as CrossRef 12 , Dimensions 13 , OpenCitations [ 11 ] , and Core [ CORE : Three Access Levels to Underpin Open Access].Ontology - Based Recommendation of Editorial Products	0
We are thus exploring the option of using datasets such as CrossRef 12 , Dimensions 13 , OpenCitations Setting our bibliographic references free : towards open citation data , and Core [ 12].Ontology - Based Recommendation of Editorial Products	0
