CC1		They usually generate user models that describe user interests according to a set of features   Web search personalization with ontological user profilesOntologyBased Recommendation of Editorial Products	0
CC2		The Computer Science Ontology CSOis a largescale and granular ontology of research topics that was created automatically by running the Klink algorithm on the Rexplore dataset   Exploring Scholarly Data with RexploreOntologyBased Recommendation of Editorial Products	0
CC3		In order to do so we characterized all SN publications according to their associated research topics by exploiting the Computer Science Ontology CSO a largescale automatically generated taxonomy of research areas   Klink : Integrating Multiple Web Sources to Generate Semantic Topic NetworksOntologyBased Recommendation of Editorial Products	0
CC4		This API supports a number of applications including Smart Book Recommender Smart Topic Miner   the TechnologyTopic Framework    a system that forecasts the propagation of technologies across research communities and the Pragmatic Ontology Evolution Framework   an approach to ontology evolution that is able to select new concepts on the basis of their contribution to specific computational tasksForecasting the Spreading of Technologies in Research CommunitiesOntologyBased Recommendation of Editorial Products	1
CC5		It works according to three main steps : It represents journals books and conferences according to the metadata of their chaptersarticles and uses the Smart Topic API    to characterize each of them with a semantically enhanced topic vectorSupporting Springer Nature Editors by means of Semantic TechnologiesOntologyBased Recommendation of Editorial Products	1
CC6		   propose a hybrid recommendation model in which user preferences are described in terms of semantic concepts defined in domain ontologiesA multilayer ontologybased hybrid recommendation modelOntologyBased Recommendation of Editorial Products	0
CC7		   propose RecomMetz a contextaware mobile recommender system based on Semantic Web technologiesRecomMetz : A contextaware knowledgebased mobile recommender system for movie showtimesOntologyBased Recommendation of Editorial Products	0
CC8		   describe OntobUM an ontologybased recommender that integrates three ontologies : i the user ontology which structures the characteristics of users and their relationships ii the domain ontology which defines the domain concepts and their relationships and iii the log ontology which defines the semantics of the user interactions with the systemOntologyBased User Modeling for Knowledge Management SystemsOntologyBased Recommendation of Editorial Products	1
CC9		   use a different strategy by representing user profiles as bagsofwords and weighing each term according to the user interests derived from a domain ontologyFinding Experts By Semantic Matching of User ProfilesOntologyBased Recommendation of Editorial Products	0
CC10		The main advantages of these solutions are i the ability to exploit the domain knowledge for improving the user modelling process ii the ability to share and reuse system knowledge and iii the alleviation of the coldstart and data sparsity problems   Ontological user profiling in recommender systemsOntologyBased Recommendation of Editorial Products	0
CC11		With the advent of the Semantic Web several recommender systems started to adopt ontologies for representing both user interests and items   SemanticsAware ContentBased Recommender SystemsOntologyBased Recommendation of Editorial Products	1
CC12		They are typically classified as collaborative filtering approaches contentbased filtering approaches and hybrid approaches   Contentbased recommender systems   rely on a preexisting domain knowledge to suggest items more similar to the ones that the user seems to likeHybrid Web Recommender SystemsOntologyBased Recommendation of Editorial Products	0
CC13		They are typically classified as collaborative filtering approaches contentbased filtering approaches and hybrid approaches Contentbased recommender systems    rely on a preexisting domain knowledge to suggest items more similar to the ones that the user seems to likeContentbased Recommender Systems : State of the Art and TrendsOntologyBased Recommendation of Editorial Products	0
CC14		Related WorkRecommender systems are software tools and methods which provide suggestions for items to users according to their preferences and needs   Recommender Systems HandbookOntologyBased Recommendation of Editorial Products	0
